Time Index,Predicted Price
1,33.58748302189041
2,33.54693506346094
3,33.50779338488626
4,33.47005798616637
5,33.43372886730125
6,33.39880602829091
7,33.36528946913536
8,33.333179189834595
9,33.302475190388606
10,33.2731774707974
11,33.24528603106098
12,33.21880087117933
13,33.19372199115247
14,33.170049390980395
15,33.147783070663095
16,33.12692303020058
17,33.10746926959285
18,33.08942178883989
19,33.07278058794172
20,33.057545666898335
21,33.04371702570973
22,33.031294664375906
23,33.020278582896864
24,33.01066878127261
25,33.002465259503126
26,32.99566801758843
27,32.990277055528516
28,32.98629237332338
29,32.98371397097303
30,32.98254184847746
31,32.982776005836676
32,32.98441644305067
33,32.98746316011945
34,32.991916157043
35,32.99777543382134
36,33.00504099045446
37,33.01371282694237
38,33.02379094328505
39,33.03527533948252
40,33.04816601553477
41,33.0624629714418
42,33.078166207203616
43,33.095275722820205
44,33.113791518291585
45,33.13371359361774
46,33.15504194879868
47,33.17777658383441
48,33.20191749872491
49,33.227464693470196
50,33.25441816807026
51,33.28277792252511
52,33.312543956834745
53,33.34371627099916
54,33.37629486501835
55,33.41027973889233
56,33.44567089262109
57,33.482468326204625
58,33.52067203964295
59,33.56028203293606
60,33.60129830608394
61,33.64372085908661
62,33.68754969194406
63,33.73278480465629
64,33.7794261972233
65,33.827473869645104
66,33.876927821921676
67,33.92778805405304
68,33.98005456603918
69,34.0337273578801
70,34.088806429575804
71,34.14529178112629
72,34.20318341253156
73,34.26248132379161
74,34.32318551490644
75,34.385295985876056
76,34.448812736700454
77,34.51373576737963
78,34.58006507791359
